site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2016-01-24T00:00:00,Avg,730.2,0.5476,6,20.9,27.1,76.4,-6.6,17,21.9,212,3.4,1640
Parkway East,2016-01-25T00:00:00,Avg,730.3,0.6491,4.5,16.5,21.1,60,0,16,19.6,163,3.3,1315
Parkway East,2016-01-26T00:00:00,Avg,727.2,0.4112,3.4,11.1,14.6,67.9,5.9,11,23.8,234,7,852
Parkway East,2016-01-27T00:00:00,Avg,731.5,0.382,8.8,13.2,22.2,69,-1.2,8,27.4,263,4.3,826
Parkway East,2016-01-28T00:00:00,Avg,723,0.4919,1.8,13.6,15.4,66.8,0.2,12,17.4,202,6.6,1066
Parkway East,2016-01-29T00:00:00,Avg,722.9,0.4411,9.1,12.1,21.3,71.1,-1.3,6,28.1,297,6.2,765
Parkway East,2016-01-30T00:00:00,Avg,725.5,0.6507,3,14.9,18,54.1,3.6,14,18.1,190,6.3,1374
Parkway East,2016-01-31T00:00:00,Avg,722.9,0.3794,0.7,10.2,10.8,49.7,13,10,14.9,204,7.1,1121
Parkway East,2016-02-01T00:00:00,Avg,726.2,0.5965,14,13.5,27.5,73.5,8,11,33.8,333,4.2,1042
Parkway East,2016-02-02T00:00:00,Avg,730.7,0.2817,8.1,11.4,19,70.2,4.8,7,45.6,131,1.6,877
Parkway East,2016-02-03T00:00:00,Avg,722.7,0.2504,1.8,7.2,9.1,77.1,12.3,6,27.4,201,6,540
Parkway East,2016-02-04T00:00:00,Avg,730.7,0.4382,9.9,12,22,66.4,3.1,7,29.6,278,4.8,656
Parkway East,2016-02-05T00:00:00,Avg,735.3,0.543,11.4,15.2,26.7,64.4,-0.6,9,30.4,303,4.4,1036
Parkway East,2016-02-06T00:00:00,Avg,734.3,0.6419,4,16,20,53.4,1.5,13,24.6,216,4.7,1363
Parkway East,2016-02-07T00:00:00,Avg,728.7,1.0136,5.5,17.7,23.3,58.1,2.9,23,26,164,2.7,2241
Parkway East,2016-02-08T00:00:00,Avg,719.6,0.2616,2.5,13.6,16.1,71,3,11,22.4,181,3.8,1130
Parkway East,2016-02-09T00:00:00,Avg,718.4,0.2276,6.8,13.8,20.7,90.5,-1.2,10,24.1,238,4.8,739
Parkway East,2016-02-10T00:00:00,Avg,723.4,0.223,5.7,10.3,16,77.9,-6.1,8,27.7,252,7.3,565
Parkway East,2016-02-11T00:00:00,Avg,730.6,0.3212,9.3,12.2,21.6,62.2,-8.8,6,30.6,290,6.5,575
Parkway East,2016-02-12T00:00:00,Avg,729.8,0.5084,7.7,19.7,27.4,75.7,-9.6,17,25.7,208,4.4,1577
Parkway East,2016-02-13T00:00:00,Avg,734.7,0.2828,5.7,8.7,14.5,71.4,-11.8,4,27.3,313,7.2,392
Parkway East,2016-02-14T00:00:00,Avg,737,0.3945,7.8,17.4,25.3,62.5,-10.8,12,38.5,187,1.8,987
Parkway East,2016-02-15T00:00:00,Avg,728.6,0.1634,1,9.7,10.5,84.1,-1.9,10,30.8,138,1.5,765
Parkway East,2016-02-16T00:00:00,Avg,720.8,0.3943,11.7,16.3,28.2,92.5,0.9,11,34.5,320,3.8,1091
Parkway East,2016-02-17T00:00:00,Avg,730.2,0.4102,13.2,16.7,30,83.7,-0.3,16,31.1,300,3.8,1100
Parkway East,2016-02-18T00:00:00,Avg,739.1,0.3361,10,15,25,62.3,-3.3,7,36.1,72,2.1,886
Parkway East,2016-02-19T00:00:00,Avg,730.3,0.2189,0.8,9.8,10.6,49.4,6.1,7,20.4,161,4.6,700
Parkway East,2016-02-20T00:00:00,Avg,725.6,0.2802,2.2,5.9,8.2,43.8,15.2,6,28.3,252,8.5,466
Parkway East,2016-02-21T00:00:00,Avg,726.6,0.9754,12.7,15.6,28.4,57.3,9.1,10,37.6,31,3.2,1288
Parkway East,2016-02-22T00:00:00,Avg,730,0.5135,13.3,12.9,26.3,60.8,4.9,6,31.5,49,3.3,1016
Parkway East,2016-02-23T00:00:00,Avg,728.5,0.1888,1.5,7.4,9,65.2,7.4,7,54.1,133,1.5,594
Parkway East,2016-02-24T00:00:00,Avg,715.5,0.2028,2.2,7,9.4,84.7,9.1,3,46.2,140,2.8,315
Parkway East,2016-02-25T00:00:00,Avg,716.8,0.251,5,7.4,12.5,81.5,1.2,3,26.3,273,8.6,410
Parkway East,2016-02-26T00:00:00,Avg,729.8,0.3799,7.8,9.1,17,59.6,-2.3,5,27,308,6.8,554
Parkway East,2016-02-27T00:00:00,Avg,729.6,0.2133,1.7,8,9.8,60.4,0.9,7,21.8,226,6.1,561
Parkway East,2016-02-28T00:00:00,Avg,724.2,0.1838,0.5,6.1,6.7,46.2,10.3,9,17.1,208,9,828
Parkway East,2016-02-29T00:00:00,Avg,723.8,0.2769,4.5,8.5,13.1,61.9,8.1,7,27.3,251,8.4,596
Parkway East,2016-03-01T00:00:00,Avg,722.9,0.2578,2.9,9.8,12.8,60.9,9.4,8,29,187,6.8,804
Parkway East,2016-03-02T00:00:00,Avg,727.8,0.3458,7.3,8.2,15.6,63.7,-2,4,28.6,302,7.6,547
Parkway East,2016-03-03T00:00:00,Avg,731,0.3166,4.4,11.2,15.5,71.1,-2.2,8,45.2,114,1.6,738
Parkway East,2016-03-04T00:00:00,Avg,729.6,0.6085,14.9,14.7,29.7,79.4,0.1,15,37.7,4,2.6,1434
Parkway East,2016-03-05T00:00:00,Avg,730.7,0.3681,3.2,10.3,13.5,67.8,1.8,15,40.1,115,1.7,1031
Parkway East,2016-03-06T00:00:00,Avg,733.4,0.5442,3.8,10.6,14.5,76.4,2.3,18,32.4,282,2.7,1335
Parkway East,2016-03-07T00:00:00,Avg,730.6,0.5524,4,14.5,18.6,54.9,10.5,14,27.7,213,4.6,1276
Parkway East,2016-03-08T00:00:00,Avg,730.7,0.6864,2.3,16.6,19,49.1,15.4,19,20.2,205,4.6,2124
Parkway East,2016-03-09T00:00:00,Avg,729.9,0.572,2.8,15.2,18.8,48.8,17.7,20,23.2,216,5.4,1599
Parkway East,2016-03-10T00:00:00,Avg,728.6,0.5002,3.4,16.3,19.8,78,15.4,19,30.8,214,3.7,980
Parkway East,2016-03-11T00:00:00,Avg,734,0.5313,10.7,9.7,20.6,75.5,10,5,38.9,358,3.2,566
Parkway East,2016-03-12T00:00:00,Avg,731.3,0.658,9.4,14.3,23.2,65.8,12.5,10,41.7,278,1.8,1331
Parkway East,2016-03-13T00:00:00,Avg,726.2,0.2608,1,6.1,7.1,74,12.5,11,45.2,116,1.5,1234
Parkway East,2016-03-14T00:00:00,Avg,722.6,0.2004,0.8,5.2,6,81.7,14.4,4,30.1,146,2.3,388
Parkway East,2016-03-15T00:00:00,Avg,723.1,0.504,10.6,12.8,23.5,86.3,12.2,8,30.9,93,2.1,1027
Parkway East,2016-03-16T00:00:00,Avg,721.8,0.34,4.7,8.7,13.4,57.7,15.2,6,31.7,249,6,760
Parkway East,2016-03-17T00:00:00,Avg,724.7,0.405,6.2,10.9,17.2,38.5,12,3,31.2,265,5.7,532
Parkway East,2016-03-18T00:00:00,Avg,726.5,0.8071,10.9,13.9,24.9,47.7,8.5,7,37.8,303,5.1,1055
Parkway East,2016-03-19T00:00:00,Avg,729.2,0.5861,7.4,10.3,17.8,71.2,3.6,6,42.5,33,2.3,712
Parkway East,2016-03-20T00:00:00,Avg,727.7,0.4813,6.4,10,16,75.6,2.5,8,48.7,58,1.7,855
