datetime,bp,co,no,no2,nox,out_rh,out_t,pm25t,uvpm
2017-02-17T00:00:00,725.4,0.7173,6.7,21.1,27.8,62.3,3,18,2141
2020-03-10T00:00:00,730.1,0.3232,2.1,6.3,8.4,74.1,11,8,841
2018-11-01T00:00:00,721.9,0.6766,12,10.1,22.1,86,15.7,9,1358
2019-08-12T00:00:00,728.2,0.3931,1.8,8.5,10.2,64,23.9,12,1344
2018-09-19T00:00:00,729.2,0.7375,15.3,12,27.4,72.3,24,13,1933
2017-09-17T00:00:00,732.3,0.5284,3.6,6.9,10.5,79.7,21.9,13,1865
2019-10-10T00:00:00,733.2,0.3339,3.4,7.1,10.6,66.8,16,5,751
2016-04-25T00:00:00,725.5,0.5017,6.9,16.7,23.6,46.4,18.6,12,1707
2019-08-17T00:00:00,729,0.4121,1.9,6.9,8.8,76.8,24.2,14,1395
2018-02-25T00:00:00,726.3,0.3564,1.9,6.3,8.3,69,11.8,4,407
2016-05-20T00:00:00,732,0.2458,2.4,7,9.2,55.1,17.1,9,762
2017-07-15T00:00:00,730.3,0.6322,6,8.4,14.5,68.9,23.3,8,988
2017-02-04T00:00:00,736.8,0.2797,2.4,10.6,13.1,52.4,-4.2,7,747
2018-10-31T00:00:00,726.9,0.3925,1.7,10.9,12.7,77,15.2,12,1263
2016-06-05T00:00:00,721.7,0.2265,0.7,4.6,5.3,80,21.2,7,512
2016-12-14T00:00:00,730.5,0.3532,8.4,12.8,21.3,68.9,-3.8,11,862
2019-09-14T00:00:00,733,0.6709,3.9,8.9,12.5,69.8,22.7,5,808
2018-08-17T00:00:00,729.4,0.5309,1.6,9.7,11.4,86.6,22.6,17,1395
2017-01-06T00:00:00,731.8,0.4613,13.7,17.3,31.1,70.1,-9.7,15,1160
2017-07-16T00:00:00,729.3,0.8068,5,10.2,15.3,70,23.1,14,1913
2017-10-16T00:00:00,733.5,0.4463,7.4,7.6,15.2,64.5,11.5,3,659
2016-11-08T00:00:00,732.7,0.6349,12.3,18.4,30.7,65.3,11.5,21,2512
2019-12-08T00:00:00,732.8,0.2551,2,10.6,12.7,67.5,4.3,10,1125
2020-01-27T00:00:00,723.9,0.4453,9.6,12.7,22.4,87.5,1.6,9,691
2018-01-18T00:00:00,733.3,0.2335,2.7,9.9,12.7,65.3,-7.4,14,734
2017-02-09T00:00:00,728.3,0.3008,6.4,7.9,14.4,75.4,-4.5,5,541
2017-10-09T00:00:00,726,0.5314,8,7.6,15.6,85.6,22.5,4,993
2017-03-17T00:00:00,734.1,1.3808,12.2,19.3,31.6,71.7,-0.2,29,2754
2019-02-16T00:00:00,728.1,0.5561,5.9,7.8,13.8,66.3,-1.8,8,599
2019-05-05T00:00:00,724.1,0.6526,6,6.8,12.4,87.9,15.3,4,740
2019-11-03T00:00:00,732.3,0.5146,3.5,8.3,11.9,60.4,5.6,6,762
2017-08-04T00:00:00,727.5,0.5141,1.6,8.2,9.9,75.3,23,11,1131
2017-07-05T00:00:00,731.6,0.3462,2.9,7,10,69.1,25.5,13,1167
